14,3,12
0,0,0,s
0,0,1
0,0,2
0,0,5
0,0,8
0,0,13
0,0,19
0,1,5
0,1,13
0,2,5
0,2,13
1,0,0
1,0,5
1,0,8
1,0,13
1,0,19
1,2,5
1,2,13
2,0,0
2,0,8
2,0,19
3,0,0
3,0,1
3,0,2
3,0,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,1,0
3,1,1
3,1,2
3,1,3
3,1,4
3,1,5
3,1,6
3,1,7
3,1,8
3,1,9
3,1,10
3,1,11
3,1,12
3,1,13
3,1,14
3,1,15
3,1,16
3,1,17
3,1,18
3,1,19
3,2,3
3,2,4
3,2,5
4,0,4
4,0,7
4,0,16
4,1,4
4,1,16
5,0,2
5,0,4
5,0,7
5,0,11
5,0,14
5,0,16
5,1,2
5,1,4
5,1,11
5,1,14
5,2,2
5,2,11
5,2,14
6,0,2
6,0,4
6,0,7
6,0,11
6,0,14
6,0,16
6,1,4
6,1,11
6,1,16
6,2,2
6,2,11
6,2,14
6,3,11
7,0,4
7,3,11
7,4,11
8,0,0
8,0,1
8,0,2
8,0,3
8,0,4
8,0,5
8,0,6
8,0,7
8,0,8
8,0,9
8,0,14
8,0,15
8,0,16
8,1,5
8,1,6
8,1,9
8,1,14
8,1,15
8,1,16
8,2,6
8,2,9
8,2,14
8,2,15
8,3,6
8,3,7
8,3,9
8,3,10
8,3,11
8,3,12
8,3,13
8,3,14
8,4,11
9,0,0
9,0,4
9,0,8
9,0,14
9,0,15
9,0,16
9,0,18
9,0,19
9,1,4
9,1,14
9,3,11
9,4,11
10,0,0
10,0,2
10,0,4
10,0,8
10,0,9
10,0,10
10,0,14
10,0,19
10,1,2
10,1,4
10,1,9
10,1,10
10,2,2
10,2,10
10,2,11
10,3,11
11,0,0
11,0,2
11,0,4
11,0,8
11,0,14
11,0,18
11,0,19
11,1,4
11,1,14
11,2,2
12,0,0
12,0,4
12,0,6
12,0,8
12,0,10
12,0,11
12,0,14
12,1,6
12,1,10
12,2,6
12,2,10
12,2,11
13,0,0
13,0,1
13,0,2
13,0,3
13,0,4
13,0,6
13,0,8
13,0,14
13,0,17
13,0,18
13,1,1
13,1,2
13,1,3
13,2,2
13,2,6
14,0,4
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,18
14,1,12
14,1,13
14,2,12
14,2,13
14,3,13
14,4,13,e
15,0,4
15,0,9
15,0,13
15,0,14
15,0,17
15,0,18
15,1,13
15,2,13
15,3,13
16,0,1
16,0,4
16,0,9
16,0,13
16,0,14
16,1,1
16,1,4
16,1,13
16,1,14
16,2,1
16,2,13
17,0,1
17,0,4
17,0,5
17,0,6
17,0,7
17,0,9
17,0,11
17,0,13
17,0,16
17,1,4
17,1,7
17,1,8
17,1,9
17,1,11
17,1,13
17,1,16
17,2,1
17,2,11
17,2,16
18,0,4
18,0,7
18,0,9
18,0,11
18,0,13
18,0,16
18,1,4
18,2,4
18,2,11
18,2,16
19,0,4
19,0,7
19,0,9
19,0,13
19,0,19
19,1,4
19,1,13
19,2,4
19,3,4
